SLNO,Gender,Age,Members,Profession,MonthlyIncome,HealthInsurance,choice,V1,Distance,Reputation,Delivery,Payment.Method,Price
1,1,45,4,Construction Supervisor,4,0,0,1 + 1,1,0,0,0,1
2,1,45,4,Construction Supervisor,4,0,0,1 + 1,0,1,0,1,0
3,1,45,4,Construction Supervisor,4,0,0,1 + 1,0,0,1,1,1
4,1,45,4,Construction Supervisor,4,0,1,1 + 1,1,1,1,1,1
5,1,45,4,Construction Supervisor,4,0,0,1 + 2,1,0,0,1,0
6,1,45,4,Construction Supervisor,4,0,0,1 + 2,1,1,1,1,1
7,1,45,4,Construction Supervisor,4,0,0,1 + 2,0,1,0,1,0
8,1,45,4,Construction Supervisor,4,0,1,1 + 2,0,1,0,0,1
9,1,45,4,Construction Supervisor,4,0,1,1 + 3,1,1,1,0,0
10,1,45,4,Construction Supervisor,4,0,0,1 + 3,1,0,0,1,0
11,1,45,4,Construction Supervisor,4,0,0,1 + 3,0,1,0,0,1
12,1,45,4,Construction Supervisor,4,0,0,1 + 3,1,0,0,0,1
13,1,45,4,Construction Supervisor,4,0,0,1 + 4,0,0,1,1,1
14,1,45,4,Construction Supervisor,4,0,1,1 + 4,1,1,1,0,0
15,1,45,4,Construction Supervisor,4,0,0,1 + 4,1,1,1,0,0
16,1,45,4,Construction Supervisor,4,0,0,1 + 4,0,0,1,0,0
17,1,45,4,Construction Supervisor,4,0,0,1 + 5,0,1,0,1,0
18,1,45,4,Construction Supervisor,4,0,0,1 + 5,0,0,1,0,0
19,1,45,4,Construction Supervisor,4,0,1,1 + 5,1,1,1,1,1
20,1,45,4,Construction Supervisor,4,0,0,1 + 5,0,0,1,1,1
21,1,45,4,Construction Supervisor,4,0,0,1 + 6,0,0,1,0,0
22,1,45,4,Construction Supervisor,4,0,0,1 + 6,0,0,1,1,1
23,1,45,4,Construction Supervisor,4,0,0,1 + 6,1,0,0,0,1
24,1,45,4,Construction Supervisor,4,0,1,1 + 6,1,0,0,1,0
25,1,45,4,Construction Supervisor,4,0,1,1 + 7,0,1,0,0,1
26,1,45,4,Construction Supervisor,4,0,0,1 + 7,0,1,0,0,1
27,1,45,4,Construction Supervisor,4,0,0,1 + 7,1,0,0,1,0
28,1,45,4,Construction Supervisor,4,0,0,1 + 7,0,1,0,1,0
29,1,45,4,Construction Supervisor,4,0,1,1 + 8,1,1,1,1,1
30,1,45,4,Construction Supervisor,4,0,0,1 + 8,1,0,0,0,1
31,1,45,4,Construction Supervisor,4,0,0,1 + 8,0,0,1,0,0
32,1,45,4,Construction Supervisor,4,0,0,1 + 8,1,1,1,0,0
33,1,38,5,Factory Worker,4,1,0,2 + 1,1,0,0,0,1
34,1,38,5,Factory Worker,4,1,0,2 + 1,0,1,0,1,0
35,1,38,5,Factory Worker,4,1,0,2 + 1,0,0,1,1,1
36,1,38,5,Factory Worker,4,1,1,2 + 1,1,1,1,1,1
37,1,38,5,Factory Worker,4,1,1,2 + 2,1,0,0,1,0
38,1,38,5,Factory Worker,4,1,0,2 + 2,1,1,1,1,1
39,1,38,5,Factory Worker,4,1,0,2 + 2,0,1,0,1,0
40,1,38,5,Factory Worker,4,1,0,2 + 2,0,1,0,0,1
41,1,38,5,Factory Worker,4,1,1,2 + 3,1,1,1,0,0
42,1,38,5,Factory Worker,4,1,0,2 + 3,1,0,0,1,0
43,1,38,5,Factory Worker,4,1,0,2 + 3,0,1,0,0,1
44,1,38,5,Factory Worker,4,1,0,2 + 3,1,0,0,0,1
45,1,38,5,Factory Worker,4,1,0,2 + 4,0,0,1,1,1
46,1,38,5,Factory Worker,4,1,1,2 + 4,1,1,1,0,0
47,1,38,5,Factory Worker,4,1,0,2 + 4,1,1,1,0,0
